date,ts_code,name,weight
2025-01-10,01810.HK,小米集团-W,0.23063355
2025-01-10,06969.HK,思摩尔国际,0.18528474
2025-01-10,02268.HK,药明合联,0.14950816
2025-01-10,03933.HK,联邦制药,0.13063113
2025-01-10,09992.HK,泡泡玛特,0.11688766
2025-01-10,01114.HK,BRILLIANCE CHI,0.10460083
2025-01-10,00270.HK,粤海投资,0.08245394
2025-01-17,02268.HK,药明合联,0.17076475
2025-01-17,00981.HK,中芯国际,0.16299339
2025-01-17,01810.HK,小米集团-W,0.14226335
2025-01-17,01114.HK,BRILLIANCE CHI,0.13426399
2025-01-17,00270.HK,粤海投资,0.12709369
2025-01-17,03888.HK,金山软件,0.10427935
2025-01-17,09992.HK,泡泡玛特,0.09492856
2025-01-17,06969.HK,思摩尔国际,0.06341292
2025-01-24,00763.HK,中兴通讯,0.16958718
2025-01-24,00981.HK,中芯国际,0.16442513
2025-01-24,01988.HK,民生银行,0.15068569
2025-01-24,09868.HK,小鹏集团-W,0.14527417
2025-01-24,02269.HK,药明生物,0.09751741
2025-01-24,02268.HK,药明合联,0.09617596
2025-01-24,00670.HK,中国东方航空股份,0.08928116
2025-01-24,01114.HK,BRILLIANCE CHI,0.08447595
2025-01-24,CASH,现金,0.00257733
2025-01-28,00763.HK,中兴通讯,0.15858221
2025-01-28,01810.HK,小米集团-W,0.15117221
2025-01-28,03888.HK,金山软件,0.14621103
2025-01-28,06680.HK,金力永磁,0.13683461
2025-01-28,02382.HK,舜宇光学科技,0.12536154
2025-01-28,00268.HK,金蝶国际,0.09929317
2025-01-28,06088.HK,FIT HON TENG,0.09390974
2025-01-28,06818.HK,中国光大银行,0.09163974
2025-02-07,09992.HK,泡泡玛特,0.15255624
2025-02-07,01810.HK,小米集团-W,0.15191290
2025-02-07,03888.HK,金山软件,0.14476882
2025-02-07,02018.HK,瑞声科技,0.12317108
2025-02-07,02498.HK,速腾聚创,0.11825534
2025-02-07,00268.HK,金蝶国际,0.10841533
2025-02-07,01357.HK,美图公司,0.10322988
2025-02-07,00136.HK,中国儒意,0.09698346
2025-02-07,CASH,现金,0.00070695
2025-02-14,00268.HK,金蝶国际,0.14500906
2025-02-14,02382.HK,舜宇光学科技,0.13721737
2025-02-14,00285.HK,比亚迪电子,0.13246298
2025-02-14,01810.HK,小米集团-W,0.12549551
2025-02-14,02018.HK,瑞声科技,0.12034975
2025-02-14,02498.HK,速腾聚创,0.12032314
2025-02-14,09868.HK,小鹏集团-W,0.11571070
2025-02-14,00175.HK,吉利汽车,0.10210881
2025-02-14,CASH,现金,0.00132268
2025-02-21,01810.HK,小米集团-W,0.13986912
2025-02-21,02498.HK,速腾聚创,0.13751211
2025-02-21,01357.HK,美图公司,0.13252284
2025-02-21,09992.HK,泡泡玛特,0.12437142
2025-02-21,03888.HK,金山软件,0.12334526
2025-02-21,00241.HK,阿里健康,0.11703321
2025-02-21,00268.HK,金蝶国际,0.11601471
2025-02-21,01860.HK,汇量科技,0.11018788
2025-02-28,09868.HK,小鹏集团-W,0.15364678
2025-02-28,02382.HK,舜宇光学科技,0.13455313
2025-02-28,02498.HK,速腾聚创,0.13195593
2025-02-28,01833.HK,平安好医生,0.12247854
2025-02-28,02268.HK,药明合联,0.12106267
2025-02-28,01347.HK,华虹半导体,0.11811857
2025-02-28,00981.HK,中芯国际,0.11256874
2025-02-28,02018.HK,瑞声科技,0.10763387
2025-03-07,00268.HK,金蝶国际,0.14204493
2025-03-07,09868.HK,小鹏集团-W,0.13474206
2025-03-07,01357.HK,美图公司,0.12946470
2025-03-07,02498.HK,速腾聚创,0.12527134
2025-03-07,02252.HK,微创机器人-B,0.12086718
2025-03-07,00981.HK,中芯国际,0.11731391
2025-03-07,01810.HK,小米集团-W,0.11340411
2025-03-07,06160.HK,百济神州,0.10827063
2025-03-07,CASH,现金,0.00862113
2025-03-14,09868.HK,小鹏集团-W,0.16470976
2025-03-14,00268.HK,金蝶国际,0.15874142
2025-03-14,09863.HK,零跑汽车,0.13721558
2025-03-14,01385.HK,上海复旦,0.13456207
2025-03-14,01952.HK,云顶新耀,0.13079444
2025-03-14,02498.HK,速腾聚创,0.10632296
2025-03-14,02423.HK,贝壳-W,0.08569671
2025-03-14,02252.HK,微创机器人-B,0.08195707
2025-03-21,01530.HK,三生制药,0.16700287
2025-03-21,02268.HK,药明合联,0.13525318
2025-03-21,02269.HK,药明生物,0.13163010
2025-03-21,09992.HK,泡泡玛特,0.13124842
2025-03-21,02498.HK,速腾聚创,0.12489225
2025-03-21,09868.HK,小鹏集团-W,0.11225554
2025-03-21,01357.HK,美图公司,0.10218030
2025-03-21,02252.HK,微创机器人-B,0.09553734
2025-03-28,02498.HK,速腾聚创,0.14422216
2025-03-28,09868.HK,小鹏集团-W,0.14176590
2025-03-28,01357.HK,美图公司,0.13423114
2025-03-28,01530.HK,三生制药,0.12892075
2025-03-28,01385.HK,上海复旦,0.12405298
2025-03-28,09992.HK,泡泡玛特,0.11297484
2025-03-28,09863.HK,零跑汽车,0.10973337
2025-03-28,00425.HK,敏实集团,0.10409886
2025-04-03,01530.HK,三生制药,0.17966288
2025-04-03,09992.HK,泡泡玛特,0.15988414
2025-04-03,02268.HK,药明合联,0.14537119
2025-04-03,06990.HK,科伦博泰生物,0.11623507
2025-04-03,02498.HK,速腾聚创,0.10981022
2025-04-03,09868.HK,小鹏集团-W,0.10553136
2025-04-03,01385.HK,上海复旦,0.09700442
2025-04-03,01357.HK,美图公司,0.08650072
2025-04-11,01530.HK,三生制药,0.18329291
2025-04-11,01385.HK,上海复旦,0.14185712
2025-04-11,09863.HK,零跑汽车,0.13229052
2025-04-11,01357.HK,美图公司,0.12803310
2025-04-11,09868.HK,小鹏集团-W,0.10673943
2025-04-11,06990.HK,科伦博泰生物,0.10458257
