date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-08,0.80557921,1.61115842,0.85941493,0.85993074,0.00051580,0.00025782,0.00025798,0.00000000,rebalance
2021-02-16,0.78225515,1.56451030,0.88834689,0.88888006,0.00053317,0.00026650,0.00026666,0.00000000,rebalance
2021-02-22,0.99970009,1.99940018,0.95320050,0.95377260,0.00057209,0.00028596,0.00028613,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,0.86252814,0.86304582,0.00051767,0.00025876,0.00025891,0.00000000,rebalance
2021-03-08,0.99970009,1.99940018,0.85329807,0.85381021,0.00051213,0.00025599,0.00025614,0.00000000,rebalance
2021-03-15,0.59612581,1.19225162,0.51841843,0.51872957,0.00031114,0.00015553,0.00015562,0.00000000,rebalance
2021-03-22,0.64091395,1.28182791,0.55256883,0.55290047,0.00033164,0.00016577,0.00016587,0.00000000,rebalance
2021-03-29,0.99970009,1.99940018,0.86157247,0.86208957,0.00051710,0.00025847,0.00025863,0.00000000,rebalance
2021-04-07,0.99970009,1.99940018,0.84941669,0.84992649,0.00050980,0.00025483,0.00025498,0.00000000,rebalance
2021-04-12,0.80962133,1.61924266,0.68210003,0.67566667,0.00040733,0.00020463,0.00020270,0.00000000,rebalance
2021-04-19,0.79850428,1.59700855,0.68645165,0.69370638,0.00041405,0.00020594,0.00020811,0.00000000,rebalance
2021-04-26,0.80126107,1.60252214,0.69327839,0.69369448,0.00041609,0.00020798,0.00020811,0.00000000,rebalance
2021-05-03,0.80903526,1.61807052,0.70139095,0.70181191,0.00042096,0.00021042,0.00021054,0.00000000,rebalance
2021-05-10,0.81002182,1.62004364,0.67999914,0.68040726,0.00040812,0.00020400,0.00020412,0.00000000,rebalance
2021-05-17,0.99970009,1.99940018,0.77709955,0.77756595,0.00046640,0.00023313,0.00023327,0.00000000,rebalance
2021-05-24,0.80568390,1.61136780,0.63652067,0.63690270,0.00038203,0.00019096,0.00019107,0.00000000,rebalance
2021-05-31,0.79217969,1.58435939,0.66866458,0.66906590,0.00040132,0.00020060,0.00020072,0.00000000,rebalance
2021-06-07,0.81783412,1.63566824,0.69478085,0.69519784,0.00041699,0.00020843,0.00020856,0.00000000,rebalance
2021-06-15,0.41543014,0.83086029,0.37051935,0.36624735,0.00022103,0.00011116,0.00010987,0.00000000,rebalance
2021-06-21,0.79455292,1.58910585,0.68786828,0.69277549,0.00041419,0.00020636,0.00020783,0.00000000,rebalance
2021-06-28,0.80620098,1.61240195,0.74694863,0.74739694,0.00044830,0.00022408,0.00022422,0.00000000,rebalance
2021-07-05,0.99970009,1.99940018,0.93620545,0.93676734,0.00056189,0.00028086,0.00028103,0.00000000,rebalance
2021-07-12,0.71871752,1.43743505,0.65917515,0.65957078,0.00039562,0.00019775,0.00019787,0.00000000,rebalance
2021-07-19,0.80810383,1.61620766,0.74167558,0.74212072,0.00044514,0.00022250,0.00022264,0.00000000,rebalance
2021-07-26,0.99970009,1.99940018,0.84244984,0.84295546,0.00050562,0.00025273,0.00025289,0.00000000,rebalance
2021-08-02,0.99970009,1.99940018,0.89829100,0.89883014,0.00053914,0.00026949,0.00026965,0.00000000,rebalance
2021-08-09,0.99970009,1.99940018,0.88674811,0.88728032,0.00053221,0.00026602,0.00026618,0.00000000,rebalance
2021-08-16,0.80279329,1.60558659,0.68189751,0.68230677,0.00040926,0.00020457,0.00020469,0.00000000,rebalance
2021-08-23,0.62805992,1.25611983,0.55373067,0.55406300,0.00033234,0.00016612,0.00016622,0.00000000,rebalance
2021-08-30,0.99970009,1.99940018,0.89098638,0.89152113,0.00053475,0.00026730,0.00026746,0.00000000,rebalance
2021-09-06,0.60539903,1.21079806,0.55206712,0.55285899,0.00033148,0.00016562,0.00016586,0.00000000,rebalance
2021-09-13,0.80541174,1.61082347,0.74728048,0.74726845,0.00044836,0.00022418,0.00022418,0.00000000,rebalance
2021-09-20,0.99970009,1.99940018,0.85485219,0.85536526,0.00051307,0.00025646,0.00025661,0.00000000,rebalance
2021-09-27,0.99970009,1.99940018,0.84718505,0.84769352,0.00050846,0.00025416,0.00025431,0.00000000,rebalance
2021-10-04,0.65541492,1.31082984,0.52313270,0.52344668,0.00031397,0.00015694,0.00015703,0.00000000,rebalance
2021-10-11,0.61104483,1.22208966,0.44971330,0.44705357,0.00026903,0.00013491,0.00013412,0.00000000,rebalance
2021-10-18,0.79183261,1.58366521,0.57742088,0.58599646,0.00034903,0.00017323,0.00017580,0.00000000,rebalance
2021-10-25,0.40451349,0.80902699,0.30585724,0.30074144,0.00018198,0.00009176,0.00009022,0.00000000,rebalance
2021-11-01,0.99970009,1.99940018,0.72629444,0.72673035,0.00043591,0.00021789,0.00021802,0.00000000,rebalance
