date,portfolio_return,nav,drawdown,trading_cost
2023-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2023-01-13,0.02801614,1.02801614,0.00000000,0.00029991
2023-01-20,0.02045356,1.04904273,0.00000000,0.00006253
2023-01-27,0.01961944,1.06962437,0.00000000,0.00003920
2023-02-03,-0.03429327,1.03294345,-0.03429327,0.00003732
2023-02-10,-0.00152884,1.03136424,-0.03576968,0.00005329
2023-02-17,-0.00363953,1.02761056,-0.03927903,0.00004011
2023-02-24,-0.00148382,1.02608577,-0.04070457,0.00003611
2023-03-03,0.03920478,1.06631324,-0.00309560,0.00000328
2023-03-10,-0.01365045,1.05175758,-0.01670379,0.00000499
2023-03-17,0.02588111,1.07897823,0.00000000,0.00001013
2023-03-24,-0.02326237,1.05387864,-0.02326237,0.00002325
2023-03-31,0.01535495,1.07006089,-0.00826462,0.00003035
2023-04-06,0.01644849,1.08766178,0.00000000,0.00013758
2023-04-14,0.01656279,1.10567650,0.00000000,0.00016389
2023-04-21,-0.00189080,1.10358588,-0.00189080,0.00000000
2023-04-28,0.01124123,1.11599155,0.00000000,0.00010078
2023-05-05,0.01787653,1.13594160,0.00000000,0.00004119
2023-05-12,-0.01618152,1.11756035,-0.01618152,0.00005262
2023-05-19,0.00798276,1.12648156,-0.00832793,0.00001176
2023-05-25,-0.03503212,1.08701852,-0.04306831,0.00003038
2023-06-02,-0.00543194,1.08111390,-0.04826630,0.00004150
2023-06-09,0.04451250,1.12923698,-0.00590226,0.00004307
2023-06-16,-0.01048719,1.11739446,-0.01632755,0.00000383
2023-06-23,-0.01967144,1.09541370,-0.03567780,0.00011402
2023-06-30,0.00935408,1.10566029,-0.02665745,0.00004975
2023-07-07,-0.00376967,1.10149232,-0.03032663,0.00003641
2023-07-14,0.04442889,1.15043040,0.00000000,0.00006231
2023-07-21,-0.01028221,1.13860144,-0.01028221,0.00000000
2023-07-28,0.01236193,1.15267676,0.00000000,0.00003574
2023-08-04,-0.01971233,1.12995482,-0.01971233,0.00002258
2023-08-11,0.00585904,1.13657526,-0.01396878,0.00000000
2023-08-18,-0.04067979,1.09033962,-0.05408033,0.00000534
2023-08-25,0.00407210,1.09477959,-0.05022845,0.00003817
2023-09-01,0.02075012,1.11749639,-0.03052058,0.00000000
2023-09-22,0.00932177,1.12791344,-0.02148332,0.00000895
2023-09-29,-0.00933615,1.11738307,-0.03061889,0.00000000
2023-10-06,-0.01962500,1.09545443,-0.04964299,0.00000808
